Ticker,Date,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change
 BNGO,2020-04-08 18:30:51.139673,-,-,-2.35,10.41%,35.64M,-39.32%,9.84M,-,-0.31,0.00%,32.82M,-67.51%,-29.80M,-,-0.18,10.70%,5.44%,-77.73%,10.10M,0.97,-8.20%,2.47%,0.60,-56.64%,0.13,2.12,68.00%,-114.50%,3.00,-93.82%,0.49,0.57,-,-,0.25 - 4.70,-77.73%,-,-,-,-114.90%,-93.53%,-,-,0.90,-,33.20%,21.66%,0.11,97,1.10,-30.00%,-,30.52,9.58% 19.62%,No,5.58,55.30%,-,5.31,0.28,Yes,0.00,Mar 05 AMC,-,2.98M,0.30,-,-26.54%,-61.44%,-75.83%,"11,597,392",10.16%
 BNSO,2020-04-08 18:31:11.565602,-,-,-0.10,53.50%,4.65M,-15.43%,9.30M,-,-,0.00%,1.20M,-21.57%,-,-,-,3.00%,0.01%,-13.04%,9.99M,0.93,-,-,0.05,-18.37%,2.87,0.70,-,-,-,-17.70%,-,-,-,-,1.72 - 2.90,-13.04%,-,-,-,-,-20.69%,0.94,-,1.90,-,-,33.72%,0.17,1127,2.00,-38.90%,-,47.02,0.00% 5.65%,No,0.11,-197.50%,-,0.04,2.00,Yes,0.00,-,-,3.64K,2.30,-,-2.31%,-6.84%,-6.39%,103,15.00%
 BNTC,2020-04-08 18:31:21.072046,-,-,-0.82,-,1.61M,-0.25%,6.30M,-,-,-,0.91M,-21.60%,-,-,-,10.17%,0.26%,-14.97%,-,-,-,-,0.03,-39.69%,1.08,3.63,-,-,14.00,-78.22%,-,-,-,-,2.76 - 21.80,-23.14%,-,-,-,-,-79.50%,-,-,-,-,-,61.96%,0.56,-,-,-99.00%,-,53.83,12.97% 16.10%,No,-,-,-,0.02,3.92,Yes,-,-,-,74.75K,4.47,-,28.20%,1.79%,-24.84%,855,14.03%
 BNTX,2020-04-08 18:31:41.870539,-,-,-0.55,1.26%,244.66M,-21.92%,11.16B,-,-1.19,0.00%,215.47M,36.20%,-125.40M,-,-0.23,4.00%,0.67%,5.21%,147.80M,75.48,-300.50%,-1.51%,3.36,-,-,-,-27.00%,-,35.40,-,2.11,21.61,-,-,12.52 - 105.00,34.59%,-,-,-,-31.40%,-57.08%,-,-,3.70,-,88.30%,259.84%,8.79,1179,3.70,-56.10%,-,47.61,10.00% 16.89%,No,0.21,-,-,1.44,45.60,No,0.16,Mar 31 BMO,-,431.21K,45.07,2.40,-13.29%,11.18%,41.43%,"454,467",-1.16%
 BOCH,2020-04-08 18:31:50.623191,-,8.79,0.83,1.40%,18.79M,-7.62%,136.60M,8.08,0.90,0.00%,16.76M,-20.20%,15.00M,1.26,0.22,54.10%,1.10%,-34.91%,59.60M,2.29,-13.80%,0.04%,2.55,-31.67%,9.66,0.75,1.12%,1.00%,8.50,-33.06%,4.29,1.69,7.00%,8.90%,6.02 - 12.31,-37.17%,0.20,11.98,15.20%,24.70%,-37.37%,0.92,2.75%,-,10.20%,-,28.07%,0.65,214,-,7.20%,89.80%,47.40,7.61% 8.77%,Yes,0.00,-18.70%,25.10%,0.21,7.27,Yes,0.12,Apr 17,21.70%,72.00K,7.71,2.50,5.28%,-18.21%,-26.89%,"11,186",6.05%
 BOKF,2020-04-08 18:32:01.208026,-,6.91,7.03,55.20%,71.14M,14.07%,3.45B,7.89,6.15,-0.08%,31.14M,0.10%,497.50M,0.99,1.48,42.80%,7.65%,-43.42%,1.53B,2.25,6.40%,0.04%,6.51,-35.08%,69.08,0.70,1.92%,1.20%,59.11,-42.97%,60.51,0.80,7.00%,10.50%,34.57 - 88.69,-44.45%,2.04,-,10.70%,18.20%,-43.80%,1.59,4.20%,-,15.90%,-,44.20%,4.82,5107,-,1.20%,69.80%,49.87,6.68% 10.84%,Yes,0.06,5.90%,32.50%,0.61,48.55,Yes,0.06,Apr 22 BMO,28.60%,365.83K,49.85,3.00,15.39%,-20.68%,-34.37%,"162,357",2.68%
 BOMN,2020-04-08 18:32:20.740082,-,-,-0.08,14.16%,24.25M,-12.76%,383.15M,-,-,-,19.28M,-6.01%,-1.50M,-,-,85.10%,3.29%,-26.24%,41.40M,9.25,85.70%,0.00%,9.31,-17.96%,14.74,1.07,-,-0.40%,33.00,-36.77%,6.35,2.49,-,-0.50%,13.04 - 27.06,-24.90%,-,56.35,23.60%,-3.40%,-38.10%,-,-,7.50,293.50%,74.40%,28.40%,1.48,138,7.50,28.40%,-30.20%,48.47,8.66% 10.69%,No,0.05,209.20%,-3.60%,0.90,15.80,Yes,0.05,-,-,68.09K,16.75,2.00,3.82%,-8.41%,-18.11%,"44,729",6.01%
 BOOM,2020-04-08 18:32:29.352171,-,12.24,2.24,1.00%,14.11M,19.34%,387.46M,19.70,1.39,7.63%,13.92M,20.12%,33.40M,0.61,0.45,-,25.46%,-38.76%,397.60M,0.97,9.60%,0.84%,13.23,-30.52%,11.83,2.32,14.64%,12.10%,30.75,-57.09%,1.45,18.99,20.00%,20.50%,20.15 - 76.68,-38.90%,0.08,11.20,75.80%,19.20%,-63.97%,1.13,0.29%,1.30,14.40%,36.50%,37.12%,2.62,741,2.00,-4.30%,14.70%,53.05,9.17% 11.51%,Yes,0.08,-136.70%,8.40%,1.16,27.46,Yes,0.06,Feb 20 AMC,8.10%,268.02K,27.63,1.40,17.06%,-13.93%,-36.67%,"227,000",0.62%
 BOSC,2020-04-08 18:32:38.401863,-,7.40,0.22,24.20%,4.38M,-10.77%,6.96M,-,-,0.00%,4.04M,2.00%,0.80M,-,-,4.40%,0.35%,-27.92%,33.40M,0.21,16.00%,-,0.56,-29.02%,3.37,0.47,-,3.50%,-,-42.81%,0.32,4.97,-,6.30%,1.02 - 3.62,-20.10%,-,-,-,9.00%,-58.56%,0.94,-,1.40,4.70%,20.70%,47.06%,0.23,59,1.90,15.80%,3.20%,43.04,22.50% 15.96%,No,0.21,-90.90%,2.30%,0.12,1.59,Yes,0.17,Mar 31 BMO,0.00%,25.52K,1.50,-,-5.67%,-18.56%,-32.79%,"2,217",-5.66%
 BOTJ,2020-04-08 18:32:47.761969,-,7.04,1.28,6.90%,4.34M,2.86%,39.06M,-,-,1.58%,3.87M,-35.25%,5.60M,-,-,33.70%,0.00%,-43.40%,29.80M,1.31,39.80%,-,0.03,-35.72%,13.94,0.65,-,0.80%,-,-37.33%,11.38,0.79,-,9.40%,8.00 - 16.15,-41.06%,0.28,10.02,5.80%,35.20%,-41.18%,0.95,3.11%,-,7.90%,-,18.75%,0.66,121,-,8.60%,79.20%,39.70,4.40% 6.59%,No,0.16,4.80%,18.40%,0.28,9.00,Yes,0.16,Apr 24,19.10%,4.17K,9.50,-,-2.51%,-25.53%,-32.70%,864,5.56%
 BOTZ,2020-04-08 18:32:57.475814,-,-,-,-,-,-0.22%,-,-,-,-,-,0.33%,-,-,-,-,-,-18.06%,-,-,-,-,-,-7.89%,-,-,-,-,-,-14.66%,-,-,-,-,14.77 - 23.07,-17.24%,0.15,-,-,-,-20.11%,-,0.83%,-,-,-,24.78%,1.02,-,-,-,-,51.00,3.82% 4.90%,No,-,-,-,0.47,18.10,Yes,-,-,-,899.31K,18.43,-,8.05%,-6.51%,-9.43%,"308,885",1.82%
 BOXL,2020-04-08 18:33:06.583591,-,-,-0.66,46.76%,12.86M,8.77%,7.97M,-,-0.56,0.00%,9.70M,-21.62%,-6.70M,-,-0.14,4.70%,1.26%,-50.20%,39.70M,0.20,39.70%,-,0.27,-66.49%,0.35,1.77,22.20%,-29.70%,3.00,-79.12%,0.06,9.97,-,-137.00%,0.33 - 4.56,-44.14%,-,-,-,-62.10%,-87.16%,-,-,0.60,-,28.40%,77.42%,0.17,43,0.70,13.70%,-13.80%,46.01,36.03% 33.18%,No,2.32,77.40%,-17.00%,0.57,0.62,Yes,0.42,Apr 16 AMC,-,448.74K,0.59,2.20,14.13%,-32.33%,-65.48%,"187,962",-5.56%
 BPFH,2020-04-08 18:33:16.200210,-,7.49,0.97,0.80%,89.20M,1.26%,645.81M,8.13,0.89,0.60%,81.36M,-6.94%,81.20M,0.74,0.18,96.10%,1.71%,-39.82%,308.40M,2.09,7.60%,-0.02%,2.46,-36.44%,9.84,0.74,11.53%,0.90%,9.55,-36.21%,4.12,1.76,10.18%,10.10%,5.18 - 13.08,-39.82%,0.48,29.76,6.10%,22.60%,-43.46%,1.22,6.63%,-,8.30%,-,42.76%,0.75,779,-,-2.10%,75.10%,45.40,8.75% 11.99%,Yes,0.13,-38.90%,26.30%,0.85,7.24,Yes,0.13,Apr 15 AMC,49.30%,566.91K,7.39,3.00,4.50%,-21.11%,-32.59%,"355,027",2.14%
 BPMC,2020-04-08 18:33:26.170535,-,-,-7.30,0.60%,54.66M,11.59%,3.57B,-,-6.79,-18.32%,52.59M,19.20%,-347.70M,-,-2.18,94.90%,5.82%,-18.89%,66.50M,53.64,-34.80%,0.70%,3.27,-9.22%,9.43,6.92,23.40%,-49.70%,104.64,-21.17%,8.85,7.38,22.27%,-72.50%,43.29 - 102.98,-18.54%,-,-,-32.50%,-77.80%,-35.28%,1.28,-,4.90,-,-,53.96%,5.31,221,4.90,4888.70%,-,60.90,6.98% 11.22%,Yes,0.00,26.20%,-,0.32,65.26,Yes,0.00,May 14 BMO,-,937.54K,66.65,1.60,17.49%,11.55%,-11.63%,"224,494",2.13%
 BPOP,2020-04-08 18:33:34.897150,-,5.29,6.88,1.40%,91.54M,3.94%,3.33B,5.73,6.35,-3.65%,87.51M,-5.68%,667.40M,1.06,1.47,95.70%,1.18%,-36.90%,2.26B,1.47,8.60%,-0.04%,0.95,-32.83%,62.04,0.59,6.12%,1.30%,55.50,-32.42%,42.26,0.86,5.00%,11.70%,23.69 - 61.46,-38.08%,1.60,6.48,41.40%,23.00%,-38.33%,1.39,4.40%,-,6.70%,-,59.98%,3.34,8560,-,0.10%,76.30%,51.65,6.58% 10.01%,Yes,0.15,29.30%,29.50%,0.61,36.38,Yes,0.09,Apr 28 BMO,17.40%,1.08M,37.90,1.50,17.23%,-14.92%,-28.13%,"488,358",4.18%
 BPTH,2020-04-08 18:34:16.614656,-,-,-3.28,1.26%,3.49M,2.22%,16.05M,-,-,0.00%,3.49M,0.88%,-8.60M,-,-0.67,11.30%,1.64%,-41.40%,-,-,77.50%,-,0.54,-49.56%,6.56,0.70,-,-42.50%,25.00,-72.21%,5.85,0.79,-,-45.80%,2.92 - 24.73,-42.43%,-,-,20.40%,-,-80.79%,2.87,-,17.70,-,-,62.65%,0.63,9,17.70,-,-,51.73,12.54% 16.61%,No,0.00,73.50%,-,0.26,4.60,Yes,0.00,Mar 06 BMO,-,106.65K,4.75,-,17.27%,-10.42%,-48.72%,"20,396",3.26%
 BPY,2020-04-08 18:34:25.020911,-,4.65,1.86,0.82%,459.17M,7.44%,3.98B,4.10,2.11,0.00%,438.56M,-43.29%,949.00M,-,-,64.30%,2.39%,-52.50%,8.20B,0.48,-16.80%,2.00%,3.17,-54.94%,25.99,0.33,1.93%,0.90%,20.30,-58.98%,3.13,2.77,-,7.50%,7.10 - 21.22,-52.63%,1.33,15.78,-18.70%,0.80%,-54.64%,1.52,15.36%,0.20,13.40%,67.60%,35.57%,1.14,22000,0.20,-2.50%,9.60%,44.26,9.98% 12.86%,Yes,4.26,91.10%,11.60%,1.67,8.66,Yes,3.58,May 06 BMO,70.70%,3.31M,9.63,2.50,3.85%,-33.48%,-46.31%,"4,082,572",11.15%
 BPYPN,2020-04-08 18:34:34.316564,-,-,-,-,-,15.36%,-,-,-,-,352.33M,-24.46%,-,-,-,11.90%,-,-,10.17B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.00 - 25.59,-36.29%,-,-,-,-,-29.59%,-,-,-,-,-,125.25%,1.86,22000,-,35.20%,-,-,11.73% 15.76%,No,-,100.90%,-,0.31,16.15,Yes,-,-,-,170.67K,18.02,-,29.50%,-6.68%,-6.68%,"39,048",11.58%
 BPYPO,2020-04-08 18:34:42.601223,-,8.75,2.00,-,-,9.85%,-,-,-,-,352.33M,-21.02%,-,-,-,61.30%,-,-33.09%,10.17B,-,-,-,-,-32.91%,30.07,0.58,-,-,-,-,-,-,-,-,8.13 - 27.52,-34.00%,1.59,-,-,-,-32.78%,-,9.08%,-,-,-,127.55%,2.03,22000,-,35.20%,-,52.05,9.15% 16.00%,No,-,100.90%,-,2.29,17.51,Yes,-,-,-,52.49K,18.50,-,18.93%,-14.81%,-25.17%,"88,560",5.65%
 BPYPP,2020-04-08 18:34:50.122195,-,9.60,1.88,-,-,5.55%,-,-,-,-,352.33M,-20.53%,-,-,-,37.33%,-,-30.89%,10.17B,-,-,-,-,-30.81%,30.17,0.60,-,-,-,-27.74%,-,-,-,-,11.00 - 27.22,-30.38%,1.62,-,-,-,-28.21%,-,8.96%,-,-,-,77.64%,2.12,22000,-,35.20%,-,51.71,7.97% 16.09%,No,-,100.90%,-,2.16,18.08,Yes,-,-,-,42.04K,19.54,-,13.77%,-13.24%,-22.06%,"66,950",8.08%
 BREW,2020-04-08 18:35:20.732891,-,-,-0.67,0.10%,19.70M,1.81%,298.85M,59.26,0.26,0.00%,11.34M,-0.85%,-12.90M,-,-0.04,51.50%,14.36%,-8.06%,193.00M,1.55,-413.70%,1.02%,5.65,82.11%,6.43,2.36,471.40%,-5.00%,16.50,6.01%,0.03,597.70,27.50%,-10.00%,7.11 - 17.19,-8.06%,-,23.72,-43.70%,-7.20%,-10.82%,0.85,-,0.60,-0.70%,32.60%,115.61%,0.72,500,1.00,-13.00%,-9.30%,56.05,2.77% 7.18%,Yes,0.27,-,-6.70%,0.76,15.17,Yes,0.26,Mar 11 AMC,-,288.43K,15.33,2.70,8.09%,-0.03%,12.92%,"162,404",1.05%
 BRID,2020-04-08 18:35:29.740648,-,29.90,0.71,0.40%,9.53M,-7.72%,202.89M,-,-,0.59%,1.73M,21.31%,6.50M,-,-,6.70%,1.43%,-11.35%,190.40M,1.07,-32.30%,-,2.00,-20.23%,7.53,2.83,-,5.30%,7.93,-11.70%,0.13,169.08,-,9.40%,14.06 - 38.00,-14.12%,-,-,28.50%,8.00%,-42.05%,0.51,-,1.20,7.20%,32.10%,56.61%,2.41,564,2.30,3.60%,4.40%,55.68,9.20% 13.78%,No,0.32,-0.90%,3.40%,1.02,21.29,Yes,0.22,-,0.00%,12.36K,22.02,-,18.18%,13.74%,-18.71%,"9,386",3.43%
 BRKL,2020-04-08 18:35:40.600578,-,10.03,1.10,0.30%,85.69M,-2.39%,943.45M,9.91,1.11,-15.60%,77.77M,-8.67%,87.70M,1.67,0.24,82.70%,2.34%,-31.27%,347.60M,2.71,6.60%,-,5.44,-24.38%,11.87,0.93,8.28%,1.10%,15.13,-25.96%,2.24,4.91,6.00%,9.50%,9.62 - 16.96,-33.11%,0.46,15.07,12.20%,19.80%,-32.13%,1.05,4.18%,-,9.70%,-,19.65%,0.82,763,-,4.80%,70.10%,48.06,6.37% 7.71%,Yes,0.15,9.40%,25.20%,0.47,11.01,Yes,0.15,Apr 29 AMC,40.00%,334.60K,11.51,2.80,5.27%,-13.64%,-21.95%,"116,336",4.54%
 BRKR,2020-04-08 18:35:48.368572,-,28.75,1.26,24.90%,153.88M,1.17%,5.58B,19.52,1.86,-0.06%,102.47M,-10.18%,197.20M,2.29,0.26,70.10%,2.98%,-28.57%,2.07B,2.69,10.20%,0.03%,3.55,-17.06%,5.90,6.15,14.82%,8.10%,45.75,-6.57%,4.45,8.15,12.58%,22.40%,30.78 - 54.49,-28.82%,0.16,48.38,30.40%,12.70%,-31.87%,1.48,0.44%,1.90,2.80%,48.00%,20.61%,3.45,7230,2.80,8.40%,14.50%,47.86,8.17% 9.99%,Yes,0.90,-11.10%,9.50%,0.58,36.28,Yes,0.90,Feb 12 AMC,12.60%,859.33K,37.13,2.30,4.13%,-13.94%,-19.34%,"371,252",2.33%
 BRKS,2020-04-08 18:35:57.423800,-,86.16,0.35,2.10%,80.83M,0.00%,2.47B,18.78,1.62,-22.45%,72.08M,-0.65%,25.90M,7.18,0.25,-,4.28%,-26.20%,812.00M,3.04,-75.90%,0.19%,5.54,-18.82%,15.88,1.92,35.22%,28.80%,44.33,-3.02%,4.29,7.11,12.00%,46.30%,21.19 - 50.35,-27.31%,0.40,47.96,62.50%,3.30%,-37.82%,1.43,1.31%,2.00,10.10%,40.50%,47.76%,2.66,2984,2.30,17.30%,4.60%,51.76,8.61% 9.78%,Yes,0.05,242.80%,53.70%,0.43,30.50,Yes,0.04,May 07 AMC,6.60%,556.54K,31.31,2.20,12.92%,-7.25%,-17.62%,"178,495",2.66%
 BROG,2020-04-08 18:36:06.395059,-,100.00,0.12,75.54%,27.45M,-1.22%,332.15M,-,-,0.00%,21.08M,-2.58%,3.20M,-,-,14.70%,0.13%,51.63%,44.09M,7.53,-,-,0.75,18.51%,7.92,1.53,-,1.50%,-,22.72%,0.00,-,-,1.50%,7.36 - 13.98,37.03%,-,110.72,-,-,-11.73%,-,-,0.00,-,-,67.66%,1.07,4,0.00,59.80%,-,56.85,4.45% 11.19%,No,0.00,-25.40%,-,0.00,12.10,Yes,0.00,May 12,0.00%,37.20K,12.34,-,11.00%,7.87%,19.38%,44,1.98%
 BRP,2020-04-08 18:36:25.455572,-,-,-0.15,15.10%,66.54M,-5.50%,663.40M,16.56,0.60,0.00%,19.77M,-31.29%,-8.70M,-,0.09,94.30%,8.52%,-38.57%,137.80M,4.81,-136.60%,0.06%,9.44,-,3.79,2.63,81.33%,-,14.40,-,0.17,59.77,-,-,8.35 - 18.50,-37.88%,-,-,-,19.70%,-43.65%,-,-,1.00,-,29.70%,24.87%,1.63,430,1.00,150.10%,-,39.93,14.86% 16.71%,No,-,-100.00%,-,2.12,9.97,Yes,-,Mar 24 AMC,-,178.38K,10.43,2.20,-6.24%,-26.88%,-31.70%,"281,607",4.58%
 BRPA,2020-04-08 18:36:34.328148,-,72.38,0.15,71.04%,5.15M,1.82%,54.79M,-,-,0.00%,-,0.66%,-,-,-,95.45%,-,1.53%,-,-,-,-,0.20,3.80%,1.76,6.05,-,-,-,-,-,-,-,-,9.80 - 12.04,0.38%,-,-,-,-,-11.63%,-,-,-,-,-,8.57%,0.19,-,-,-,-,49.37,1.90% 1.13%,No,-,-,-,0.00,10.64,No,-,-,-,2.94K,10.64,-,-0.55%,0.29%,3.42%,0,0.00%
 BRQS,2020-04-08 18:37:18.433071,-,-,-2.28,35.38%,34.02M,12.86%,43.39M,-,-,0.00%,25.93M,-33.58%,-71.10M,-,-,19.00%,0.01%,-61.93%,56.60M,0.77,-42.00%,-,0.12,-69.64%,-0.71,-,-,2.30%,12.00,-78.31%,0.06,22.83,-,10.60%,0.95 - 8.40,-29.15%,-,6.78,-,1240.70%,-85.83%,1.47,-,0.60,-,-12.80%,25.26%,0.48,564,0.60,5.10%,14.90%,42.49,17.23% 45.66%,No,-,-42.00%,6.30%,0.08,1.28,Yes,-,-,0.00%,13.24K,1.19,-,-19.21%,-41.94%,-65.61%,774,-6.69%
 BRY,2020-04-08 18:37:26.185731,-,3.87,0.54,0.90%,79.73M,-13.28%,166.64M,6.79,0.31,-73.06%,79.01M,-47.88%,43.50M,0.26,0.29,7.64%,4.01%,-78.39%,559.40M,0.30,-12.10%,2.27%,3.65,-77.48%,11.76,0.18,-68.57%,2.60%,6.13,-83.21%,0.00,-,15.00%,4.50%,1.82 - 13.29,-77.84%,0.48,0.83,-,5.70%,-83.90%,-,22.97%,0.60,-,57.90%,17.58%,0.50,355,0.60,-57.90%,7.40%,31.24,21.81% 20.43%,Yes,0.00,-105.20%,7.80%,0.52,2.09,Yes,0.41,Feb 26 AMC,88.70%,868.92K,2.14,2.70,-9.57%,-56.71%,-73.99%,"338,616",2.39%
 BSAE,2020-04-08 18:37:34.384908,-,-,-,-,-,0.08%,-,-,-,-,-,-3.34%,-,-,-,-,-,-3.15%,-,-,-,-,-,-3.29%,-,-,-,-,-,-1.94%,-,-,-,-,24.29 - 25.69,-3.28%,0.93,-,-,-,-3.58%,-,3.76%,-,-,-,1.98%,0.13,-,-,-,-,41.20,0.35% 0.52%,No,-,-,-,0.00,24.74,Yes,-,-,-,1.62K,24.77,-,-0.14%,-1.98%,-2.60%,5,0.12%
 BSBE,2020-04-08 18:37:41.990428,-,-,-,-,-,0.37%,-,-,-,-,-,-5.78%,-,-,-,-,-,-5.28%,-,-,-,-,-,-4.71%,-,-,-,-,-,-2.39%,-,-,-,-,24.12 - 26.19,-5.40%,0.98,-,-,-,-5.50%,-,3.98%,-,-,-,2.61%,0.16,-,-,-,-,41.03,0.26% 0.56%,No,-,-,-,0.06,24.62,No,-,-,-,2.21K,24.75,-,-0.32%,-3.24%,-3.93%,98,0.53%
 BSCE,2020-04-08 18:38:01.868084,-,-,-,-,-,2.01%,-,-,-,-,-,-7.27%,-,-,-,-,-,-6.85%,-,-,-,-,-,-6.60%,-,-,-,-,-,-3.37%,-,-,-,-,23.76 - 26.50,-7.08%,1.00,-,-,-,-7.87%,-,4.11%,-,-,-,2.76%,0.22,-,-,-,-,34.11,0.29% 0.67%,No,-,-,-,0.00,24.35,No,-,-,-,2.43K,24.42,-,-2.38%,-5.41%,-5.87%,1,0.27%
 BSCK,2020-04-08 18:38:10.372986,-,-,-,-,-,0.24%,-,-,-,-,-,-0.99%,-,-,-,-,-,-1.10%,-,-,-,-,-,-1.17%,-,-,-,-,-,-0.75%,-,-,-,-,19.67 - 21.41,-1.08%,0.52,-,-,-,-1.35%,-,2.47%,-,-,-,7.37%,0.27,-,-,-,-,54.54,0.45% 1.97%,No,-,-,-,0.35,21.06,Yes,-,-,-,742.76K,21.12,-,1.20%,0.04%,-0.62%,"193,814",0.28%
 BSCL,2020-04-08 18:38:18.889178,-,-,-,-,-,0.38%,-,-,-,-,-,-1.22%,-,-,-,-,-,-1.03%,-,-,-,-,-,-1.10%,-,-,-,-,-,0.15%,-,-,-,-,17.15 - 21.40,-0.89%,0.55,-,-,-,-1.31%,-,2.61%,-,-,-,23.15%,0.41,-,-,-,-,58.01,0.83% 3.13%,No,-,-,-,0.57,21.05,Yes,-,-,-,573.73K,21.12,-,2.65%,0.55%,-0.28%,"246,469",0.33%
 BSCM,2020-04-08 18:38:27.194052,-,-,-,-,-,-0.05%,-,-,-,-,-,-1.63%,-,-,-,-,-,-1.63%,-,-,-,-,-,-1.72%,-,-,-,-,-,0.42%,-,-,-,-,18.16 - 23.76,-1.56%,0.58,-,-,-,-10.77%,-,2.74%,-,-,-,16.74%,0.57,-,-,-,-,56.17,1.05% 4.16%,No,-,-,-,0.40,21.17,Yes,-,-,-,635.58K,21.20,-,3.03%,0.05%,-0.89%,"189,128",0.14%
 BSCN,2020-04-08 18:38:35.478259,-,-,-,-,-,0.55%,-,-,-,-,-,-2.57%,-,-,-,-,-,-2.34%,-,-,-,-,-,-2.47%,-,-,-,-,-,0.39%,-,-,-,-,16.71 - 22.55,-2.21%,0.59,-,-,-,-6.96%,-,2.83%,-,-,-,25.55%,0.64,-,-,-,-,57.07,1.07% 4.81%,No,-,-,-,0.72,20.84,Yes,-,-,-,354.34K,20.98,-,3.96%,0.07%,-0.96%,"192,398",0.67%
 BSCO,2020-04-08 18:38:43.391153,-,-,-,-,-,0.63%,-,-,-,-,-,-3.90%,-,-,-,-,-,-3.42%,-,-,-,-,-,-3.39%,-,-,-,-,-,0.34%,-,-,-,-,17.39 - 22.03,-3.21%,0.60,-,-,-,-5.17%,-,2.89%,-,-,-,20.13%,0.59,-,-,-,-,55.87,1.89% 4.03%,No,-,-,-,0.56,20.78,Yes,-,-,-,336.37K,20.89,-,4.18%,-0.77%,-1.95%,"141,765",0.53%
 BSCP,2020-04-08 18:38:51.807453,-,-,-,-,-,0.63%,-,-,-,-,-,-4.65%,-,-,-,-,-,-3.77%,-,-,-,-,-,-3.77%,-,-,-,-,-,0.83%,-,-,-,-,18.60 - 22.16,-3.59%,0.63,-,-,-,-5.66%,-,3.04%,-,-,-,12.39%,0.36,-,-,-,-,55.91,0.63% 2.15%,No,-,-,-,0.27,20.70,Yes,-,-,-,180.35K,20.91,-,3.70%,-1.09%,-1.85%,"36,331",0.99%
 BSCQ,2020-04-08 18:39:00.160060,-,-,-,-,-,0.76%,-,-,-,-,-,-4.86%,-,-,-,-,-,-3.51%,-,-,-,-,-,-3.42%,-,-,-,-,-,2.05%,-,-,-,-,17.80 - 21.70,-3.45%,0.59,-,-,-,-7.92%,-,2.97%,-,-,-,12.25%,0.46,-,-,-,-,54.14,1.01% 2.90%,No,-,-,-,0.56,19.85,Yes,-,-,-,76.77K,19.98,-,3.39%,-1.56%,-2.04%,"32,020",0.66%
 BSCR,2020-04-08 18:39:07.762136,-,-,-,-,-,0.38%,-,-,-,-,-,-6.84%,-,-,-,-,-,-5.28%,-,-,-,-,-,-5.21%,-,-,-,-,-,0.75%,-,-,-,-,17.89 - 21.74,-5.08%,0.72,-,-,-,-7.54%,-,3.62%,-,-,-,12.35%,0.39,-,-,-,-,52.74,0.64% 2.34%,No,-,-,-,0.78,19.89,Yes,-,-,-,78.13K,20.10,-,3.23%,-2.41%,-3.25%,"45,438",1.08%
 BSCS,2020-04-08 18:39:15.955090,-,-,-,-,-,0.43%,-,-,-,-,-,-7.74%,-,-,-,-,-,-6.08%,-,-,-,-,-,-6.03%,-,-,-,-,-,0.45%,-,-,-,-,18.62 - 22.96,-5.77%,0.65,-,-,-,-8.67%,-,3.13%,-,-,-,12.62%,0.43,-,-,-,-,51.72,0.81% 2.40%,No,-,-,-,0.45,20.75,Yes,-,-,-,43.92K,20.97,-,3.14%,-3.09%,-4.00%,"14,729",1.08%
 BSCT,2020-04-08 18:39:23.844022,-,-,-,-,-,0.49%,-,-,-,-,-,-7.51%,-,-,-,-,-,-5.04%,-,-,-,-,-,-5.18%,-,-,-,-,-,-,-,-,-,-,17.21 - 21.20,-4.59%,-,-,-,-,-8.35%,-,-,-,-,-,12.92%,0.41,-,-,-,-,52.82,1.80% 2.06%,No,-,-,-,0.21,19.21,No,-,-,-,15.36K,19.43,-,3.51%,-2.41%,-3.20%,"2,463",1.12%
 BSDE,2020-04-08 18:39:31.389553,-,-,-,-,-,-0.09%,-,-,-,-,-,-6.99%,-,-,-,-,-,-11.83%,-,-,-,-,-,-11.64%,-,-,-,-,-,-7.23%,-,-,-,-,21.02 - 27.34,-12.11%,0.98,-,-,-,-14.39%,-,4.19%,-,-,-,11.35%,0.51,-,-,-,-,43.36,1.08% 1.87%,No,-,-,-,0.16,23.41,Yes,-,-,-,9.19K,23.41,-,0.95%,-7.40%,-10.18%,0,0.00%
